string1,string2,LevenshteinDistance,Jaro,JaroWinklerDistance
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
leak,Trauma,5,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,AIIS,4,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
thoracotomy,null,11,1.0,1.0
null,null,0,1.0,1.0
repaired,reduction,7,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,treatment,9,1.0,1.0
®,null,4,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
fracture,AIIS,8,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
applied,treatment,8,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
fasciotomy,surgery,8,1.0,1.0
infection,fracture,7,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,fracture,7,1.0,1.0
null,null,0,1.0,1.0
X-rays,null,6,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,trauma,5,1.0,1.0
physiotherapy,null,13,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,management,9,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
surgery,null,6,1.0,1.0
healthy,AIIS,7,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,fractures,8,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
surgery,null,6,1.0,1.0
healthy,null,6,1.0,1.0
null,repair,6,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
driver,null,6,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,surgery,6,1.0,1.0
null,Alexandre,8,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
thoracotomy,null,11,1.0,1.0
Trauma,null,5,1.0,1.0
null,Y.J.,4,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
infection,null,8,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,Surgery,6,1.0,1.0
rupture,K.S.,7,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
injuries,null,6,1.0,1.0
null,management,9,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
trauma,null,5,1.0,1.0
null,treatment,9,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
contusion,null,7,1.0,1.0
null,null,0,1.0,1.0
null,radiographic,12,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
Trauma,null,5,1.0,1.0
null,R.,4,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
rupture,null,6,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,surgery,6,1.0,1.0
rupture,British,6,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
rupture,null,6,1.0,1.0
null,null,0,1.0,1.0
null,V.M.,4,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
trauma,null,5,1.0,1.0
null,treatment,9,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
rupture,null,6,1.0,1.0
null,B.M.,4,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
rupture,null,6,1.0,1.0
null,R.,4,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
rupture,femoris,7,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
thoracotomy,Surgery,9,1.0,1.0
null,null,0,1.0,1.0
repair,M.J.,6,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
rupture,null,6,1.0,1.0
null,null,0,1.0,1.0
null,Schenker,7,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
rupture,R.B.,7,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
injury,null,4,1.0,1.0
null,R.,4,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
treatment,management,5,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
rupture,Trauma,6,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
penetrating,null,10,1.0,1.0
null,null,0,1.0,1.0
null,S.C.,4,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
injury,R.H.,6,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,R.,4,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
thoracotomy,null,11,1.0,1.0
rupture,null,6,1.0,1.0
null,treatment,9,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,femoris,7,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
sternotomy,null,9,1.0,1.0
null,J.C.,4,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
bypass,null,6,1.0,1.0
null,femoris,7,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
laparotomy,null,10,1.0,1.0
trauma,,6,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
trauma,,6,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
Observation,,11,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
rupture,,7,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
rupture,,7,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
injuries,,8,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
Hypotension,,11,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
loss,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
injury,,6,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
distended,,9,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
diagnosis,,9,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
rupture,,7,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
thoracotomy,,11,1.0,1.0
rupture,,7,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
penetrating,,11,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
injury,,6,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
examination,,11,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
rupture,,7,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
diagnosis,,9,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
hypotension,,11,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
haemorrhage,,11,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
es-,,3,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
rupture,,7,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
trauma,,6,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
pneumonia,,9,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
repair,,6,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
trauma,,6,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
injury,,6,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
hypotension,,11,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
sound,,5,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
sound,,5,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
thoracotomy,,11,1.0,1.0
trauma,,6,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
rupture,,7,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
management,,10,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
trauma,,6,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
Arora,,5,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
thoracotomy,,11,1.0,1.0
null,,4,1.0,1.0
M.J.,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
P.,,2,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
injuries,,8,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
Trauma,,6,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
A.N.,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
S.V.,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
Sukthankar,,10,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
rupture,,7,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
trauma,,6,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
management,,10,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
injuries,,8,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
diagnosis,,9,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
Trauma,,6,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
Trauma,,6,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
Trauma,,6,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
D.,,2,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
rupture,,7,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
trauma,,6,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
rupture,,7,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
Herbert,,7,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
rupture,,7,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
R.,,2,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
rupture,,7,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
rupture,,7,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
W.P.,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
R.J.,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
ruptured,,8,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
injury,,6,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
N.,,2,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
D.,,2,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
D.,,2,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
thoracotomy,,11,1.0,1.0
P.,,2,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
K.S.,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
injuries,,8,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
Trauma,,6,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
null,,4,1.0,1.0
