Word,Tag
therapy,
ultimately,
making,
a,
full,
recovery,
without,
any,
neurological,
or,
cognitive,
deﬁcits.,
He,
subsequently,
retired,
from,
competitive,
rugby,
and,
has,
become,
a,
coach,
for,
a,
professional,
rugby,
club.,
A,
15-year-old,
woman,
was,
diagnosed,
with,
osteogenesis,
imperfecta,
(Sillence,
Type,
I),
at,
a,
regional,
reference,
pediatric,
hospital.,
Although,
a,
genetic,
characterization,
of,
the,
disease,
is,
currently,
underway,
and,
the,
patient,
never,
underwent,
a,
bone,
density,
test,
she,
expresses,
the,
same,
phenotypic,
traits,
as,
her,
mother,
who,
suﬀers,
from,
autosomal,
dominant,
OI.,
Following,
a,
fall,
from,
a,
chair,
during,
an,
epileptic,
seizure,
the,
young,
patient,
came,
to,
our,
observation.,
Medical,
history,
did,
not,
predict,
any,
other,
fractures,B-PI
She,
was,
not,
taking,
bisphosphonates,
before,
the,
injury,
but,
she,
was,
taking,
valproic,
acid,
for,
epilepsy.,
On,
physical,
examination,B-GOAL
the,
patient,
had,
blue,
sclera,B-PI
bilateral,
ipoacusia,B-PI
inability,B-PI
to,
ambulate,
and,
absolute,
impossibility,B-PI
to,
active,
and,
passive,
motion,
of,
both,
hips,
due,
to,
pain,B-PI
.,
The,
imaging,
showed,
acetabular,
fractures,B-PI
which,
were,
classiﬁed,
as,
associated,
both-column,
fractures,B-PI
with,
protrusio,
acetabuli.,
Three,
dimensional,
reconstructed,
computed,
tomography,
(CT),B-IM
examination,B-GOAL
revealed,
a,
greater,
degree,
of,
comminution,B-PI
and,
displacement,B-PI
than,
could,
be,
appreciated,
on,
the,
plain,
radiographs.,
Once,
informed,
consent,
was,
obtained,
from,
the,
patient,
and,
her,
parents,
the,
preoperative,
preparation,
by,
the,
orthopaedic,
and,
anaesthesia,
team,
consisted,
in,
typing,
and,
cross,
matching,
eight,
units,
of,
packed,
red,
blood,
cells,
fresh,
frozen,
plasma,B-SurgicalPrep
cryoprecipitate,B-SurgicalPrep
desmopressin,B-SurgicalPrep
and,
interoperative,
cell,
salvage,
capability,
available,
for,
the,
operation,
.,
On,
the,
ﬁfth,
post-trauma,
day,
considering,
the,
young,
age,
of,
the,
patient,
the,
comorbidities,
and,
the,
operative,
duration,
we,
opted,
for,
the,
ﬁxation,
of,
the,
acetabula,
in,
two,
surgical,
steps.,
At,
ﬁrst,
we,
performed,
ORIF,B-SurgicalProcedure
of,
bilateral,
posterior,
columns,
via,
Iselin,
approach.,
A,
pelvic,
reconstruction,
plate,
was,
shaped,
and,
positioned,
along,
the,
perimeter,
of,
the,
pelvis,
until,
its,
ﬁxation.,
The,
patient,
was,
extremely,
osteopenic,B-PI
bones,
were,
very,
fragile,
and,
the,
reduction,
obtained,
from,
the,
fracture,
was,
the,
best,
possible,
given,
the,
starting,
conditions.,
Since,
on,
the,
right,
side,
the,
posterior,
synthesis,
alone,
appeared,
insufficient,
to,
guarantee,
a,
lasting,
reduction,
of,
the,
femoral,
head,B-SurgicalLocation
in,
the,
acetabulum,B-SurgicalPrep
we,
drilled,B-SurgicalPrep
a,
Kirschner,B-SurgicalPrep
wire,
to,
provide,
stable,
ﬁxation,B-SurgicalDiscussion
and,
to,
avoid,
possible,
future,
dislocations.,
The,
second,
surgical,
step,
was,
performed,
on,
post-injury,
day,
ten,
via,
a,
bilateral,
modiﬁed,
Stoppa,B-SurgicalProcedure
approach,
and,
augmented,
by,
creating,
the,
lateral,
window,
of,
the,
ilioinguinal,
approach,
[5].,
Bilaterally,
there,
were,
multiple,
devitalised,
free-ﬂoating,
articular,
fragments,
medial,
to,
the,
quadrilateral,
surface,
that,
were,
deemed,
no-reconstructible.,
Two,
dedicated,
suprapectineal,
plate,
were,
applied,
to,
reconstruct,
anterior,
column,
and,
quadrilateral,
lamina,
of,
both,
hips.,
The,
post-operative,
period,
was,
uneventful,
hemoglobin,
never,
fell,
below,
10,
mg/dl,
and,
intraoperatively,
the,
blood,
loss,
was,
less,
than,
400,
cl,
and,
no,
blood,
transfusion,
was,
necessary.,
She,
was,
mobilized,B-GOAL
on,
crutches,
with,
touch,
weight-bearing,
for,
six,
weeks,
and,
partial,
weight-bearing,
for,
another,
six,
weeks.,
After,
three,
weeks,
the,
patient,
was,
discharged,
to,
home,
therapy,
with,
bisphosphonates,
and,
referred,
to,
a,
specialist,
center,
for,
OI,
disease.,
We,
followed,
the,
patient,
weekly,
for,
one,
month,
then,
monthly,
until,
the,
sixth,
month,
with,
radiographic,
control,
at,
30,
60,
and,
120,
days.,
The,
hips,
function,
was,
evaluated,
with,
Harris,
Hip,
Score,
(HHS),
with,
result,
of,
45/100,
at,
the,
ﬁnal,
follow-up.,
The,
Numeric,
Pain,
Rating,
Scale,
(NPRS),
a,
segmented,
numeric,
version,
of,
the,
visual,
analog,
scale,
(VAS),
used,
to,
assess,
pain,
intensity,
reported,
a,
score,
of,
5/10,
(moderate,
pain),
at,
the,
ﬁnal,
follow-up.,
The,
last,
radiographic,
examination,B-GOAL
showed,
an,
adequate,
reduction,
of,
the,
fracture,
and,
a,
satisfactory,
wall,
and,
bone,
stock,
for,
a,
subsequent,
prosthesis:,
the,
patient,
developed,
a,
bilateral,
post-traumatic,
arthrosis,
with,
heterotopic,
calciﬁcations,
typical,
of,
the,
underlying,
disease.,
A,
16-year-old,
male,
unrestrained,
backseat,
passenger,
was,
brought,
to,
our,
trauma,
bay,
after,
a,
high-speed,
motor,
vehicle,
collision,
with,
a,
rollover.,
He,
suffered,
multiple,
injuries,B-PI
including,
TBI,B-PI
complex,
pelvic,
fractures,B-PI
spleen,
liver,
and,
renal,
injuries,B-PI
and,
left,
diaphragmatic,
rupture,B-PI
.,
His,
initial,
chest,
X-ray,
(CXR),B-IM
revealed,
his,
stomach,
herniating,
inside,
his,
left,
chest.,
He,
underwent,
immediate,
laparotomy,B-SurgicalProcedure
and,
repair,B-GOAL
of,
his,
left,
diaphragm.,
Intraoperatively,
the,
surgeon,
examined,
the,
right,
diaphragm,
by,
palpation,
and,
noted,
no,
abnormality.,
Postoperatively,
the,
patient,
had,
a,
prolonged,
ventilator-dependence.,
His,
daily,
CXR,
showed,
right-sided,
diaphragmatic,
abnormality,
but,
was,
nonspeciﬁc.,
We,
performed,
a,
dynamic,
ultrasound,B-IM
to,
evaluate,
the,
right,
diaphragm,
the,
result,
suggested,
that,
the,
right,
diaphragm,
was,
paralysed,
probably,
secondary,
to,
right,
phrenic,
nerve,
injury.,
On,
3,
occasions,
(post-injury,
day,
0,
4,
and,
15),
the,
patient,
underwent,
CT,B-IM
of,
the,
chest,
none,
of,
those,
3,
scans,
reported,
right-sided,
diaphragmatic,
injury,
despite,
the,
presence,
of,
“hepatothorax”,
as,
well,
as,
“hump”,
“band”,
and,
“collar”,
signs.,
Eventually,
on,
post-injury,
day,
17,
the,
patient,
underwent,
a,
diagnostic,
laparoscopy,B-SurgicalProcedure
we,
found,
the,
liver,
herniating,
into,
the,
right,
chest.,
28-year,
lady,
was,
brought,
to,
the,
ED,
with,
an,
alleged,
history,
of,
accidental,
strangulation,
by,
cloth,
while,
working,
in,
ﬁelds.,
The,
patient,
presented,
to,
us,
after,
8,
h,
of,
trauma.,
Airway,
was,
patent,B-PI
and,
the,
cervical,
spine,
motion,
was,
restricted,B-PI
.,
A,
patterned,
bruise,
of,
strangulation,
was,
present,
in,
the,
middle,
of,
the,
neck.,
Larynx,
and,
cricotracheal,
junction,
were,
normal,
to,
palpation.,
Breathing,
and,
circulation,
were,
normal,
and,
there,
was,
no,
neurological,
disability.,
Mild,
surgical,
emphysema,B-PI
was,
present,
in,
the,
face,
and,
neck.,
CECT,B-IM
neck,
revealed,
tracheal,
transection,B-PI
more,
than,
50%,
of,
the,
circumference,
and,
an,
abnormally,
dilated,B-PI
segment,
of,
the,
esophagus.,
Contrast,
esophagogram,
wasn't,
performed,
as,
the,
patient,
had,
an,
upfront,
indication,
of,
exploration,B-GOAL
.,
CT,B-IM
Angio,
revealed,
complete,
luminal,
occlusion,
of,
left,
Common,
Carotid,
Artery,
due,
to,
thrombosis,
3,
cm,
below,
bifurcation,
however,
the,
contrast,
was,
present,
in,
the,
internal,
carotid,
artery,
presumably,
entering,
retrogradely,
from,
external,
carotid,
artery.,
Interventional,
radiology,
expertise,
for,
CCA,
stenting,
wasn't,
available.,
The,
patient,
was,
taken,
up,
for,
emergent,
exploration,B-GOAL
where,
complete,
transection,B-PI
of,
the,
trachea,
was,O
repaired,B-GOAL
along,O
with,O
the,O
esophagus.,O
CCA,O
exploration,B-GOAL
revealed,O
a,O
contused,B-PI
artery,O
not,O
amenable,O
to,O
resection,O
and,O
end,O
to,O
end,O
repair,B-GOAL
.,O
CCA,O
size,O
precluded,O
the,O
use,O
of,O
saphenous,O
graft,O
due,O
to,O
anticipated,O
luminal,O
discrepancy,O
and,O
subsequent,O
turbulent,O
ﬂow.,O
PTFE,O
and,O
Dacron,O
couldn't,O
be,O
arranged,O
in,O
the,O
middle,O
of,O
the,O
night.,O
The,O
operating,O
surgeon,O
decided,O
to,O
manage,B-GOAL
CCA,O
contusion,O
and,O
thrombosis,O
non-operatively,O
as,O
the,O
patient,O
presented,O
after,O
8,O
h,O
and,O
majority,O
strokes,B-PI
in,O
Grade,O
4,O
injury,O
would,O
have,O
manifested,O
in,O
this,O
period.,O
CCA,O
ligation,O
wasn't,O
done,O
in,O
the,O
apprehension,O
of,O
antegrade,O
thrombus,B-PI
propagation,O
post,O
ligation.,O
Unfortunately,O
the,O
patient,O
developed,O
right,O
hemiparesis,B-PI
in,O
the,O
immediate,O
post-operative,O
period.,O
MR,O
brain,O
with,O
angiogram,B-IM
revealed,O
thrombus,B-PI
propagation,O
involving,O
ICA,O
and,O
Left,O
MCA,O
and,O
conﬁrmed,O
stroke,B-PI
.,O
The,O
patient,O
was,O
started,O
on,O
anticoagulation,O
and,O
intensive,O
physiotherapy,O
.,O
Her,O
maximal,O
power,O
was,O
2/5,O
in,O
the,O
upper,O
limb,O
and,O
3/5,O
in,O
the,O
lower,O
limb.,O
With,O
physiotherapy,O
she,O
started,O
regaining,O
strength,O
and,O
by,O
the,O
third,O
postoperative,O
day,O
she,O
had,O
regained,O
full,O
power,O
and,O
could,O
write,O
and,O
walk,O
independently.,O
Follow,O
up,O
Doppler,O
showed,O
no,O
recanalization.,O
The,O
rest,O
post-op,O
period,O
was,O
uneventful,O
and,O
the,O
patient,O
was,O
discharged,O
home,O
neurologically,O
intact,O
on,O
antithrombotic,O
therapy.,O
